순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
1,에레디아,SSG,0.360,136,591,541,82,195,31,1,21,291,118,0,9
2,레이예스,롯데,0.352,144,632,574,88,202,40,3,15,293,111,0,11
3,김도영,KIA,0.347,141,625,544,143,189,29,10,38,352,109,1,7
4,구자욱,삼성,0.343,129,568,493,92,169,39,1,33,309,115,2,6
5,송성문,키움,0.340,142,602,527,88,179,29,4,19,273,104,0,8
6,홍창기,LG,0.336,139,637,524,96,176,18,3,5,215,73,1,4
7,로하스,KT,0.329,144,670,572,108,188,39,1,32,325,112,0,4
8,김선빈,KIA,0.329,116,466,423,48,139,23,0,9,189,57,7,0
9,박민우,NC,0.328,121,528,457,75,150,26,2,8,204,50,4,4
10,김혜성,키움,0.326,127,567,509,90,166,26,4,11,233,75,0,7
11,오스틴,LG,0.319,140,604,527,99,168,32,3,32,302,132,0,13
12,김지찬,삼성,0.316,135,535,453,102,143,16,3,3,174,36,12,1
13,양의지,두산,0.314,119,485,430,57,135,18,1,17,206,94,0,6
14,나승엽,롯데,0.312,121,489,407,59,127,35,4,7,191,66,2,7
15,소크라테스,KIA,0.310,140,602,552,92,171,30,3,26,285,97,0,5
16,허경민,두산,0.309,115,477,417,69,129,28,0,7,178,61,0,6
17,고승민,롯데,0.308,120,532,481,79,148,27,6,14,229,87,1,8
18,박찬호,KIA,0.307,134,577,515,86,158,24,1,5,199,61,7,6
19,데이비슨,NC,0.306,131,567,504,90,154,25,1,46,319,119,0,7
20,강민호,삼성,0.303,136,452,403,48,122,19,1,19,200,77,0,6
21,박성한,SSG,0.301,137,564,489,78,147,24,0,10,201,67,3,6
22,문보경,LG,0.301,144,602,519,80,156,35,3,22,263,101,3,13
23,권희동,NC,0.300,123,511,416,66,125,22,1,13,188,77,2,6
24,안치홍,한화,0.300,128,533,473,64,142,21,0,13,202,66,1,4
25,신민재,LG,0.297,128,474,387,78,115,11,6,0,138,40,15,3
26,김현수,LG,0.294,137,583,517,61,152,36,2,8,216,69,1,9
27,윤동희,롯데,0.293,141,613,532,97,156,35,4,14,241,85,2,5
28,전준우,롯데,0.293,109,483,423,57,124,26,2,17,205,82,1,5
29,최원준,KIA,0.292,136,508,438,75,128,23,3,9,184,56,7,5
30,최정,SSG,0.291,129,550,468,93,136,27,2,37,278,107,0,7
31,김태연,한화,0.291,126,472,413,59,120,24,0,12,180,61,6,4
32,강백호,KT,0.289,144,614,550,92,159,27,0,26,264,96,0,2
33,이우성,KIA,0.288,112,449,399,56,115,16,1,9,160,54,0,3
34,서호철,NC,0.285,141,567,512,68,146,19,3,10,201,61,6,3
35,정수빈,두산,0.284,136,608,510,95,145,21,3,4,184,47,10,8
36,김재환,두산,0.283,136,552,474,78,134,28,0,29,249,92,0,9
37,강승호,두산,0.280,140,566,521,81,146,34,7,18,248,81,2,4
38,최형우,KIA,0.280,116,487,425,67,119,23,2,22,212,109,0,5
39,최지훈,SSG,0.275,125,543,483,89,133,22,7,11,202,49,6,2
40,배정대,KT,0.275,113,473,404,49,111,25,1,7,159,59,8,7
41,페라자,한화,0.275,122,522,455,75,125,24,0,24,221,70,0,2
42,박동원,LG,0.272,130,498,434,58,118,22,0,20,200,80,2,7
43,노시환,한화,0.272,136,601,526,88,143,20,2,24,239,89,0,4
44,채은성,한화,0.271,124,498,436,61,118,24,0,20,202,83,0,5
45,장성우,KT,0.268,131,489,418,53,112,19,0,19,188,81,2,8
46,이주형,키움,0.266,115,537,473,82,126,19,3,13,190,60,0,1
47,박해민,LG,0.263,144,553,482,72,127,16,6,6,173,56,5,9
48,박승욱,롯데,0.262,139,468,405,57,106,19,1,7,148,53,3,3
49,이재현,삼성,0.260,109,458,389,71,101,18,1,14,163,66,0,3
50,황재균,KT,0.260,137,536,493,60,128,22,0,13,189,58,5,2
51,김휘집,NC,0.258,140,562,488,78,126,24,1,16,200,73,4,8
52,최주환,키움,0.257,130,544,482,49,124,23,1,13,188,84,0,9
53,김영웅,삼성,0.252,126,509,456,65,115,16,3,28,221,79,1,4
54,김주원,NC,0.252,134,475,385,61,97,18,2,9,146,49,9,5
55,양석환,두산,0.246,142,593,533,83,131,25,1,34,260,107,1,3
56,한유섬,SSG,0.235,132,523,464,64,109,29,0,24,210,87,1,3
